"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","participant_id","from_prolific","study_id","session_id","device_pixel_ratio","screen_w","screen_h","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task","set","lower_interval","upper_interval","top_interval","bottom_interval","upper_on_top","is_catch","chose_upper","catch_correct"
"1186","1030","true","chrome","134.0.0","false","Linux","true","60.18","false","true","browser-check","0","2.1.0","1007","pilot_tyznsfev","false","","","1.25","2560","1440","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","1","2.1.0","16579","pilot_tyznsfev","false","","","1.25","2560","1440","true","false","[]","[]","[]","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","2","2.1.0","32537","pilot_tyznsfev","false","","","1.25","2560","1440","","","","","","15956","<div class=""prose"">
    <h2>About this study</h2>
    <p>You'll compare pairs of computer-generated images and judge how much
    the texture changes between them. There are no right or wrong answers for
    most of the comparisons — we're measuring how the change looks to people.</p>
    <p>It takes about 8 minutes. We record your responses, your response times,
    and basic information about your screen. We don't collect anything that
    identifies you personally.</p>
    <p>You can stop at any time by closing the tab.</p>
    <p><em>[Replace this paragraph with your institution's approved consent
    text and ethics approval number before launch.]</em></p>
  </div>","0","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","3","2.1.0","38472","pilot_tyznsfev","false","","","1.25","2560","1440","true","","","","","4931","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","4","2.1.0","60291","pilot_tyznsfev","false","","","1.25","2560","1440","","","","","","21818","<div class=""prose"">
    <h2>What to do</h2>
    <p>On each screen you'll see two rows. Each row holds two versions of the
    same image, differing in the <strong>size of the texture</strong> — the
    scale of the brush marks, grain, or pattern.</p>
    <p>Your job is to decide <strong>which row changes more</strong> between its
    left and right image. Not which row has bigger texture overall — which row
    has the bigger <em>difference</em>.</p>
    <ul>
      <li>Go with your first impression. Don't study them.</li>
      <li>Judge texture size, not colour, brightness, or subject matter.</li>
      <li>Some comparisons are close. Guess when you're unsure — that's expected.</li>
    </ul>
  </div>","0","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","5","2.1.0","67689","pilot_tyznsfev","false","","","1.25","2560","1440","","","","","","7397","
    <div class=""quad-prompt"">Here the <strong>top row</strong> changes more.</div>
    <div class=""quad"">
      <div class=""interval"">
    <img src=""images/set01_step01.jpg"" alt="""">
    <img src=""images/set01_step07.jpg"" alt="""">
  </div>
      <div class=""interval"">
    <img src=""images/set01_step01.jpg"" alt="""">
    <img src=""images/set01_step02.jpg"" alt="""">
  </div>
    </div>","0","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.1.0","82244","pilot_tyznsfev","false","","","1.25","2560","1440","","","","","","14151","
      <div class=""quad-prompt"">Which row shows the bigger change in texture scale?</div>
      <div class=""quad"">
        <div class=""interval"">
    <img src=""images/set04_step06.jpg"" alt="""">
    <img src=""images/set04_step07.jpg"" alt="""">
  </div>
        <div class=""interval"">
    <img src=""images/set04_step01.jpg"" alt="""">
    <img src=""images/set04_step02.jpg"" alt="""">
  </div>
      </div>","1","mlds","set04","1-2","6-7","6-7","1-2","true","false","false",""
"","","","","","","","","","","","html-button-response","7","2.1.0","90463","pilot_tyznsfev","false","","","1.25","2560","1440","","","","","","8217","
      <div class=""quad-prompt"">Which row shows the bigger change in texture scale?</div>
      <div class=""quad"">
        <div class=""interval"">
    <img src=""images/set03_step01.jpg"" alt="""">
    <img src=""images/set03_step02.jpg"" alt="""">
  </div>
        <div class=""interval"">
    <img src=""images/set03_step06.jpg"" alt="""">
    <img src=""images/set03_step07.jpg"" alt="""">
  </div>
      </div>","0","mlds","set03","1-2","6-7","1-2","6-7","false","false","false",""
"","","","","","","","","","","","html-button-response","8","2.1.0","93567","pilot_tyznsfev","false","","","1.25","2560","1440","","","","","","3102","
      <div class=""quad-prompt"">Which row shows the bigger change in texture scale?</div>
      <div class=""quad"">
        <div class=""interval"">
    <img src=""images/set06_step03.jpg"" alt="""">
    <img src=""images/set06_step06.jpg"" alt="""">
  </div>
        <div class=""interval"">
    <img src=""images/set06_step01.jpg"" alt="""">
    <img src=""images/set06_step02.jpg"" alt="""">
  </div>
      </div>","0","mlds","set06","1-2","3-6","3-6","1-2","true","false","true",""
"","","","","","","","","","","","html-button-response","9","2.1.0","116179","pilot_tyznsfev","false","","","1.25","2560","1440","","","","","","22610","
      <div class=""quad-prompt"">Which row shows the bigger change in texture scale?</div>
      <div class=""quad"">
        <div class=""interval"">
    <img src=""images/set03_step01.jpg"" alt="""">
    <img src=""images/set03_step03.jpg"" alt="""">
  </div>
        <div class=""interval"">
    <img src=""images/set03_step05.jpg"" alt="""">
    <img src=""images/set03_step07.jpg"" alt="""">
  </div>
      </div>","0","mlds","set03","1-3","5-7","1-3","5-7","false","false","false",""
